batch,task_id,arm,historical_arm_label,attempt,run_path,wall_time_seconds,primary_tokens,trajectory_length,resolved,clean,clean_note,usage_reported,timed_out
"cost-time-probe-v1","full-boltons-wraps-forwarding","no-md","null",1,"runs/dev-v2/cost-time-probe-v1/full-boltons-wraps-forwarding/null/attempt-1",371.39066700999683,82258,24,true,true,"",true,false
"cost-time-probe-v1","full-boltons-wraps-forwarding","no-md","null",2,"runs/dev-v2/cost-time-probe-v1/full-boltons-wraps-forwarding/null/attempt-2",437.0185429609992,97928,45,true,true,"",true,false
"cost-time-probe-v1","full-boltons-wraps-forwarding","no-md","null",3,"runs/dev-v2/cost-time-probe-v1/full-boltons-wraps-forwarding/null/attempt-3",788.454527959002,143970,38,true,true,"",true,false
"cost-time-probe-v1","full-boltons-wraps-forwarding","old-md","probe",1,"runs/dev-v2/cost-time-probe-v1/full-boltons-wraps-forwarding/probe/attempt-1",290.1253670940059,65921,24,true,true,"",true,false
"cost-time-probe-v1","full-boltons-wraps-forwarding","old-md","probe",2,"runs/dev-v2/cost-time-probe-v1/full-boltons-wraps-forwarding/probe/attempt-2",310.6313288759993,61595,28,true,true,"",true,false
"cost-time-probe-v1","full-boltons-wraps-forwarding","old-md","probe",3,"runs/dev-v2/cost-time-probe-v1/full-boltons-wraps-forwarding/probe/attempt-3",308.83495321100054,63759,30,true,true,"",true,false
"cost-time-probe-v1","full-click-stream-lifecycle","no-md","null",1,"runs/dev-v2/cost-time-probe-v1/full-click-stream-lifecycle/null/attempt-1",401.6006993139963,71822,38,true,true,"",true,false
"cost-time-probe-v1","full-click-stream-lifecycle","no-md","null",2,"runs/dev-v2/cost-time-probe-v1/full-click-stream-lifecycle/null/attempt-2",527.5054027740043,151556,29,true,true,"",true,false
"cost-time-probe-v1","full-click-stream-lifecycle","no-md","null",3,"runs/dev-v2/cost-time-probe-v1/full-click-stream-lifecycle/null/attempt-3",316.25659642199753,79696,43,false,true,"",true,false
"cost-time-probe-v1","full-click-stream-lifecycle","old-md","probe",2,"runs/dev-v2/cost-time-probe-v1/full-click-stream-lifecycle/probe/attempt-2",231.07131137699616,53175,26,false,true,"",true,false
"cost-time-probe-v1","full-click-stream-lifecycle","old-md","probe",3,"runs/dev-v2/cost-time-probe-v1/full-click-stream-lifecycle/probe/attempt-3",443.0081732660037,131688,29,true,true,"",true,false
"cost-time-probe-v1","full-flask-automatic-options","no-md","null",1,"runs/dev-v2/cost-time-probe-v1/full-flask-automatic-options/null/attempt-1",122.24550826699851,54532,11,true,true,"",true,false
"cost-time-probe-v1","full-flask-automatic-options","no-md","null",2,"runs/dev-v2/cost-time-probe-v1/full-flask-automatic-options/null/attempt-2",121.2843559019966,39831,15,true,true,"",true,false
"cost-time-probe-v1","full-flask-automatic-options","no-md","null",3,"runs/dev-v2/cost-time-probe-v1/full-flask-automatic-options/null/attempt-3",119.05962922899926,37840,16,true,true,"",true,false
"cost-time-probe-v1","full-flask-automatic-options","old-md","probe",1,"runs/dev-v2/cost-time-probe-v1/full-flask-automatic-options/probe/attempt-1",90.23356964899722,35194,12,true,true,"",true,false
"cost-time-probe-v1","full-flask-automatic-options","old-md","probe",2,"runs/dev-v2/cost-time-probe-v1/full-flask-automatic-options/probe/attempt-2",99.53563761799887,48783,16,true,true,"",true,false
"cost-time-probe-v1","full-flask-automatic-options","old-md","probe",3,"runs/dev-v2/cost-time-probe-v1/full-flask-automatic-options/probe/attempt-3",112.66101612999773,51696,19,true,true,"",true,false
"cost-time-probe-v1","full-starlette-websocket-denial","no-md","null",1,"runs/dev-v2/cost-time-probe-v1/full-starlette-websocket-denial/null/attempt-1",232.6116274659944,82208,32,true,true,"",true,false
"cost-time-probe-v1","full-starlette-websocket-denial","no-md","null",2,"runs/dev-v2/cost-time-probe-v1/full-starlette-websocket-denial/null/attempt-2",312.3568700620017,79401,31,true,true,"",true,false
"cost-time-probe-v1","full-starlette-websocket-denial","old-md","probe",1,"runs/dev-v2/cost-time-probe-v1/full-starlette-websocket-denial/probe/attempt-1",245.96293737599626,77588,18,true,true,"",true,false
"cost-time-probe-v1","full-starlette-websocket-denial","old-md","probe",2,"runs/dev-v2/cost-time-probe-v1/full-starlette-websocket-denial/probe/attempt-2",637.4293919539996,106671,38,true,true,"",true,false
"cost-time-probe-v1","full-starlette-websocket-denial","old-md","probe",3,"runs/dev-v2/cost-time-probe-v1/full-starlette-websocket-denial/probe/attempt-3",203.28061928199895,52954,17,false,true,"",true,false
"evidence-bounded-probe-v1","full-boltons-wraps-forwarding","old-md","previous",1,"runs/dev-v2/evidence-bounded-probe-v1/full-boltons-wraps-forwarding/previous/attempt-1",299.8041204799956,63235,17,true,true,"",true,false
"evidence-bounded-probe-v1","full-boltons-wraps-forwarding","old-md","previous",2,"runs/dev-v2/evidence-bounded-probe-v1/full-boltons-wraps-forwarding/previous/attempt-2",292.46094888700463,57432,13,true,true,"",true,false
"evidence-bounded-probe-v1","full-boltons-wraps-forwarding","old-md","previous",3,"runs/dev-v2/evidence-bounded-probe-v1/full-boltons-wraps-forwarding/previous/attempt-3",353.3746086660103,82785,31,true,true,"",true,false
"evidence-bounded-probe-v1","full-boltons-wraps-forwarding","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-probe-v1/full-boltons-wraps-forwarding/evidence-bounded/attempt-1",330.9381291909958,62926,29,true,true,"",true,false
"evidence-bounded-probe-v1","full-boltons-wraps-forwarding","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-probe-v1/full-boltons-wraps-forwarding/evidence-bounded/attempt-2",273.6388272240001,67506,20,true,true,"",true,false
